example_id,policy_id,scenario,expected_status,decisive_inputs,expected_rule_ids,reason,source_path,source_locator,review_status
EX_SAFE_01,POL_SEOUL_SAFETY_TEST_2026H2,서울 어린이제품 제조 소상공인·2025 매출 8천만원·세금 완납,입력 기준 적격 후보,서울=yes;어린이제품=yes;매출=80000000;세금완납=yes,SAFE_ALL_01;SAFE_ALL_02;SAFE_ALL_03;SAFE_CHILD_01,공개된 조건 충족,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_SAFETY_TEST_2026H2/2026_서울_소상공인_안전검사_하반기.pdf,공식 HTML,수작업정답_구현전
EX_SAFE_02,POL_SEOUL_SAFETY_TEST_2026H2,국세 체납 상태,부적격,국세완납=no,SAFE_ALL_03,국세·지방세 완납 필수조건 불충족,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_SAFETY_TEST_2026H2/2026_서울_소상공인_안전검사_하반기.pdf,공식 HTML,수작업정답_구현전
EX_RESTART_01,POL_SEOUL_RESTART_2026,서울에서 과거 폐업 후 재창업한 소상공인,입력 기준 적격 후보,서울=yes;과거폐업=yes;재창업=yes,RESTART_ALL_01;RESTART_ANY_03,재창업자 공개조건 충족,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_RESTART_2026/official_page.html,공식 본문,수작업정답_구현전
EX_RESTART_02,POL_SEOUL_RESTART_2026,실패·채무상환·재창업 이력 확인 불가,추가 확인 필요,성실실패=모름;성실상환=모름;재창업=모름,RESTART_ANY_01;RESTART_ANY_02;RESTART_ANY_03,세 가지 대상 경로 중 어느 것도 확인되지 않음,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_RESTART_2026/official_page.html,공식 본문,수작업정답_구현전
EX_REFI_01,POL_SEMAS_REFINANCE_2026,NCB 900점·2025년 6월 실행·금리 8% 사업자대출,입력 기준 적격 후보,NCB=900;실행일=2025-06-01;기존금리=8%,REFI_ALL_01;REFI_ALL_02;REFI_ANY_01,공개된 신용·실행일·고금리 경로 충족,data/raw_re/policy/selected/2026-08-15/POL_SEMAS_POLICY_LOANS_2026_CHANGE4/2026_소상공인_정책자금_융자사업_4차변경.pdf,PDF 11쪽,수작업정답_구현전
EX_REFI_02,POL_SEMAS_REFINANCE_2026,2025년 7월 실행 대출,부적격,실행일=2025-07-01,REFI_ALL_02,2025-06-30 이전 대출 조건 불충족,data/raw_re/policy/selected/2026-08-15/POL_SEMAS_POLICY_LOANS_2026_CHANGE4/2026_소상공인_정책자금_융자사업_4차변경.pdf,PDF 11쪽,수작업정답_구현전
EX_RECH_01,POL_SEMAS_RECHALLENGE_2026,최근 1년 내 희망리턴패키지 재창업교육 25시간 수료,입력 기준 적격 후보,교육수료=yes;수료시점=최근1년;시간=25,RECH_ANY_01,일반형 재창업 준비단계 공개조건 충족,data/raw_re/policy/selected/2026-08-15/POL_SEMAS_POLICY_LOANS_2026_CHANGE4/2026_소상공인_정책자금_융자사업_4차변경.pdf,PDF 13쪽,수작업정답_구현전
EX_RECH_02,POL_SEMAS_RECHALLENGE_2026,재창업·채무조정·재기사업화 근거가 모두 미확인,추가 확인 필요,재창업=모름;채무조정=모름;재기사업화=모름,RECH_ANY_01;RECH_ANY_02;RECH_ANY_03;RECH_HOPE_01,하위 유형 적격경로를 확정할 입력이 없음,data/raw_re/policy/selected/2026-08-15/POL_SEMAS_POLICY_LOANS_2026_CHANGE4/2026_소상공인_정책자금_융자사업_4차변경.pdf,PDF 13~14쪽,수작업정답_구현전
EX_VOUCH_01,POL_SEMAS_STABILITY_VOUCHER_2026,2025년 매출 5천만원·2024년 개업·영업 중,입력 기준 적격 후보,매출=50000000;개업일=2024-01-01;영업중=yes,VOUCH_ALL_01;VOUCH_ALL_02;VOUCH_ALL_03;VOUCH_ALL_04,공개된 매출·개업·영업 조건 충족,data/raw_re/policy/selected/2026-08-15/POL_SEMAS_STABILITY_VOUCHER_2026/2026_소상공인_경영안정_바우처_공고.pdf,PDF 1~2쪽,수작업정답_구현전
EX_VOUCH_02,POL_SEMAS_STABILITY_VOUCHER_2026,2025년 매출 2억원,부적격,매출=200000000,VOUCH_ALL_02,연매출 상한 조건 불충족,data/raw_re/policy/selected/2026-08-15/POL_SEMAS_STABILITY_VOUCHER_2026/2026_소상공인_경영안정_바우처_공고.pdf,PDF 1쪽,수작업정답_구현전
