policy_id,rule_id,rule_group,category,operator,value,source_status,source_locator,reviewed_at,notes
POL_SEOUL_DIGITAL_MIDLIFE_2026H2,DIGI_ALL_02,all,representative_age,>=,만 40세,공식 첨부문서 확인,PDF 1쪽,2026-08-15T23:59:00+09:00,
POL_SEOUL_DIGITAL_MIDLIFE_2026H2,DIGI_ALL_03,all,opening_date,<,2025-07-01,공식 첨부문서 확인,PDF 1쪽,2026-08-15T23:59:00+09:00,
POL_SEOUL_DIGITAL_MIDLIFE_2026H2,DIGI_PREF_01,preference,representative_age,>=,만 50세,공식 첨부문서 확인,PDF 1쪽,2026-08-15T23:59:00+09:00,
POL_SEOUL_DIGITAL_MIDLIFE_2026H2,DIGI_PREF_02,preference,industry,in,숙박·음식점업; 제조업; 수리·기타서비스업,공식 첨부문서 확인,PDF 1쪽,2026-08-15T23:59:00+09:00,
POL_SEOUL_DIGITAL_MIDLIFE_2026H2,DIGI_EX_01,exclude,prior_support,in,2023~2025 동일사업 또는 2026 서울시 종합지원 4개 사업,공식 첨부문서 확인,PDF 1쪽,2026-08-15T23:59:00+09:00,
POL_SEOUL_ZERO_MARKET_2026_2,ZERO_ALL_01,all,region,equals,서울특별시,공식 첨부문서 확인,HWPX 공모개요,2026-08-15T23:59:00+09:00,
POL_SEOUL_ZERO_MARKET_2026_2,ZERO_ALL_02,all,operation,contains_any,다회용기 배달 또는 무포장·소분·리필·친환경포장·포장재 감축,공식 첨부문서 확인,HWPX 지원자격,2026-08-15T23:59:00+09:00,
POL_SEOUL_ZERO_MARKET_2026_2,ZERO_ALL_03,all,business_registration,has,물품판매 또는 음식 조리·판매 가능 업종,공식 첨부문서 확인,HWPX 지원자격,2026-08-15T23:59:00+09:00,
POL_SEOUL_ZERO_MARKET_2026_2,ZERO_EX_01,exclude,status,in,폐업·사실상 폐업·휴업,공식 첨부문서 확인,HWPX 부적격대상,2026-08-15T23:59:00+09:00,
POL_SEOUL_ZERO_MARKET_2026_2,ZERO_EX_02,exclude,online_operation,equals,주소만 공유오피스 또는 위탁판매,공식 첨부문서 확인,HWPX 부적격대상,2026-08-15T23:59:00+09:00,
POL_SEOUL_ZERO_MARKET_2026_2,ZERO_EX_03,exclude,duplicate_support,equals,동일·유사 국비·시비 지원 결정,공식 첨부문서 확인,HWPX 부적격대상,2026-08-15T23:59:00+09:00,
POL_SEOUL_SAFETY_TEST_2026H2,SAFE_ALL_01,all,region,equals,서울특별시,공식 첨부문서 확인,공식 HTML,2026-08-15T23:59:00+09:00,
POL_SEOUL_SAFETY_TEST_2026H2,SAFE_ALL_02,all,industry,in,생활용품·어린이제품 제조 또는 유통 관련,공식 첨부문서 확인,공식 HTML,2026-08-15T23:59:00+09:00,
POL_SEOUL_SAFETY_TEST_2026H2,SAFE_ALL_03,all,tax,equals,국세·지방세 완납,공식 첨부문서 확인,공식 HTML,2026-08-15T23:59:00+09:00,
POL_SEOUL_SAFETY_TEST_2026H2,SAFE_CHILD_01,child_product,annual_sales_2025,<,104000000원,공식 첨부문서 확인,공식 HTML,2026-08-15T23:59:00+09:00,어린이제품에만 적용
POL_SEOUL_RESTART_2026,RESTART_ALL_01,all,region,equals,서울특별시,공식 공고 확인,공식 본문,2026-08-15T23:59:00+09:00,
POL_SEOUL_RESTART_2026,RESTART_ANY_01,any,recovery_status,in,신용회복·회생·파산면책 완료 등 성실실패,공식 공고 확인,공식 본문,2026-08-15T23:59:00+09:00,
POL_SEOUL_RESTART_2026,RESTART_ANY_02,any,repayment_status,equals,서울신용보증재단 채무 전액 성실상환,공식 공고 확인,공식 본문,2026-08-15T23:59:00+09:00,
POL_SEOUL_RESTART_2026,RESTART_ANY_03,any,restart_status,equals,과거 폐업 후 재창업,공식 공고 확인,공식 본문,2026-08-15T23:59:00+09:00,
POL_SEMAS_REFINANCE_2026,REFI_ALL_01,all,credit_score,<=,NCB 919점,공식 첨부문서 확인,PDF 11쪽,2026-08-15T23:59:00+09:00,공고상 개인신용평점 미적용 예외 2종 존재
POL_SEMAS_REFINANCE_2026,REFI_ALL_02,all,loan_origination_date,<=,2025-06-30,공식 첨부문서 확인,PDF 11쪽,2026-08-15T23:59:00+09:00,
POL_SEMAS_REFINANCE_2026,REFI_ANY_01,any,existing_interest_rate,>=,연 7%,공식 첨부문서 확인,PDF 11쪽,2026-08-15T23:59:00+09:00,
POL_SEMAS_REFINANCE_2026,REFI_ANY_02,any,maturity_extension,equals,은행권 만기연장 애로 확인,공식 첨부문서 확인,PDF 11쪽,2026-08-15T23:59:00+09:00,
POL_SEMAS_REFINANCE_2026,REFI_EX_01,exclude,common_loan_restriction,in,세금체납·신용정보등록·휴폐업·융자제외업종 등,공식 첨부문서 확인,PDF 4쪽,2026-08-15T23:59:00+09:00,
POL_SEMAS_RECHALLENGE_2026,RECH_ANY_01,general_any,restart_education,equals,최근 1년 내 희망리턴패키지 재창업교육 25시간 이상 수료,공식 첨부문서 확인,PDF 13쪽,2026-08-15T23:59:00+09:00,
POL_SEMAS_RECHALLENGE_2026,RECH_ANY_02,general_any,restart_status,equals,공고상 재창업 초기단계 요건 충족,공식 첨부문서 확인,PDF 13쪽,2026-08-15T23:59:00+09:00,
POL_SEMAS_RECHALLENGE_2026,RECH_ANY_03,general_any,debt_adjustment,equals,채무조정 후 성실상환·교육 등 요건 충족,공식 첨부문서 확인,PDF 13쪽,2026-08-15T23:59:00+09:00,
POL_SEMAS_RECHALLENGE_2026,RECH_HOPE_01,hope,recovery_program,in,2025 재기사업화 완료 또는 2026 선정·협약완료,공식 첨부문서 확인,PDF 14쪽,2026-08-15T23:59:00+09:00,
POL_SEMAS_RECHALLENGE_2026,RECH_LEAP_01,leap_all,restart_business_age,>=,2년,공식 첨부문서 확인,PDF 14쪽,2026-08-15T23:59:00+09:00,
POL_SEMAS_RECHALLENGE_2026,RECH_LEAP_02,leap_all,growth,contains_any,매출 5% 이상 증가 또는 고용 증가·2인 이상,공식 첨부문서 확인,PDF 14쪽,2026-08-15T23:59:00+09:00,
POL_SEMAS_RECHALLENGE_2026,RECH_LEAP_03,leap_all,repayment,equals,최근 3년 내 연속 10일 이상 연체 없이 직접대출 분할상환 또는 완제,공식 첨부문서 확인,PDF 14쪽,2026-08-15T23:59:00+09:00,
POL_SEMAS_RECHALLENGE_2026,RECH_EX_01,exclude,common_loan_restriction,in,세금체납·신용정보등록·휴폐업·융자제외업종 등,공식 첨부문서 확인,PDF 4쪽,2026-08-15T23:59:00+09:00,
POL_SEMAS_STABILITY_VOUCHER_2026,VOUCH_ALL_01,all,annual_sales_2025,>,0원,공식 첨부문서 확인,PDF 1쪽,2026-08-15T23:59:00+09:00,
POL_SEMAS_STABILITY_VOUCHER_2026,VOUCH_ALL_02,all,annual_sales_2025,<,104000000원,공식 첨부문서 확인,PDF 1쪽,2026-08-15T23:59:00+09:00,
POL_SEMAS_STABILITY_VOUCHER_2026,VOUCH_ALL_03,all,opening_date,<=,2025-12-31,공식 첨부문서 확인,PDF 2쪽,2026-08-15T23:59:00+09:00,
POL_SEMAS_STABILITY_VOUCHER_2026,VOUCH_ALL_04,all,status,equals,신청일 현재 영업 중,공식 첨부문서 확인,PDF 2쪽,2026-08-15T23:59:00+09:00,
POL_SEMAS_STABILITY_VOUCHER_2026,VOUCH_EX_01,exclude,industry,in,소상공인 정책자금 융자제외업종,공식 첨부문서 확인,PDF 2·6쪽,2026-08-15T23:59:00+09:00,
POL_SEMAS_STABILITY_VOUCHER_2026,VOUCH_LIMIT_01,limit,multiple_businesses,equals,대표자 1인당 1개 사업체,공식 첨부문서 확인,PDF 2쪽,2026-08-15T23:59:00+09:00,
